title,company_profile,description,requirements,benefits,fraudulent
Data Analyst,Airbnb is a leading technology company.,"We are looking for a talented Data Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Content Writer,Oracle is a leading technology company.,"Exciting opportunity at Oracle for an experienced Content Writer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
DevOps Engineer,McKinsey is a leading technology company.,"McKinsey is hiring a DevOps Engineer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Software Engineer,Adobe is a leading technology company.,"Adobe is hiring a Software Engineer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Entry Clerk,,Congratulations! You've been selected for a high-paying data entry job. Work only 2 hours a day and earn $8000 monthly. Send upfront fee of $300 for training materials. No experience required. Apply with personal info now!,,,1
Business Analyst,Adobe is a leading technology company.,Join Adobe as a Business Analyst. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Marketing Manager,Intel is a leading technology company.,"Exciting opportunity at Intel for an experienced Marketing Manager. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Technical Writer,Airbnb is a leading technology company.,"We are looking for a talented Technical Writer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Graphic Designer,LinkedIn is a leading technology company.,"LinkedIn is hiring a Graphic Designer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Financial Analyst,Goldman Sachs is a leading technology company.,"We are looking for a talented Financial Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Entry Clerk,,URGENT HIRING - No qualifications needed. Salary $10000/month. Click the link below to submit your credit card details for background check. This is a confidential position and you must not share. Reply ASAP!!!,,,1
DevOps Engineer,IBM is a leading technology company.,"IBM is hiring a DevOps Engineer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Full Stack Developer,Microsoft is a leading technology company.,Join Microsoft as a Full Stack Developer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Administrative Assistant,,URGENT HIRING - No qualifications needed. Salary $10000/month. Click the link below to submit your credit card details for background check. This is a confidential position and you must not share. Reply ASAP!!!,,,1
Scrum Master,Airbnb is a leading technology company.,"Exciting opportunity at Airbnb for an experienced Scrum Master. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Operations Manager,Spotify is a leading technology company.,"We are looking for a talented Operations Manager to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
System Administrator,IBM is a leading technology company.,"IBM is hiring a System Administrator to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Supply Chain Analyst,Accenture is a leading technology company.,Join Accenture as a Supply Chain Analyst. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Scrum Master,Cisco is a leading technology company.,"Exciting opportunity at Cisco for an experienced Scrum Master. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Project Manager,VMware is a leading technology company.,"We are looking for a talented Project Manager to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Scrum Master,Meta is a leading technology company.,Join Meta as a Scrum Master. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Customer Support Lead,Lyft is a leading technology company.,"Exciting opportunity at Lyft for an experienced Customer Support Lead. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Supply Chain Analyst,Lyft is a leading technology company.,"Exciting opportunity at Lyft for an experienced Supply Chain Analyst. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Analyst,Deloitte is a leading technology company.,"Exciting opportunity at Deloitte for an experienced Data Analyst. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Sales Representative,Intel is a leading technology company.,"Exciting opportunity at Intel for an experienced Sales Representative. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Financial Analyst,Google is a leading technology company.,Join Google as a Financial Analyst. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Scrum Master,Salesforce is a leading technology company.,"We are looking for a talented Scrum Master to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Product Designer,Netflix is a leading technology company.,"Exciting opportunity at Netflix for an experienced Product Designer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Home Assistant,,URGENT HIRING - No qualifications needed. Salary $10000/month. Click the link below to submit your credit card details for background check. This is a confidential position and you must not share. Reply ASAP!!!,,,1
Operations Manager,Amazon is a leading technology company.,"Exciting opportunity at Amazon for an experienced Operations Manager. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Technical Writer,VMware is a leading technology company.,Join VMware as a Technical Writer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Business Analyst,McKinsey is a leading technology company.,Join McKinsey as a Business Analyst. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Product Designer,Salesforce is a leading technology company.,"Salesforce is hiring a Product Designer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Product Designer,Meta is a leading technology company.,"Meta is hiring a Product Designer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
DevOps Engineer,Oracle is a leading technology company.,"We are looking for a talented DevOps Engineer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Administrative Assistant,,"Work from home and make thousands!!! Send your SSN and ID to apply. No interview needed, you're already hired! Just pay a small processing fee of $150 and start earning immediately. Limited spots available!!!",,,1
Software Engineer,Apple is a leading technology company.,"We are looking for a talented Software Engineer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Project Manager,LinkedIn is a leading technology company.,"We are looking for a talented Project Manager to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Product Designer,Spotify is a leading technology company.,Join Spotify as a Product Designer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Cloud Architect,Twitter is a leading technology company.,Join Twitter as a Cloud Architect. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Security Analyst,Uber is a leading technology company.,"Exciting opportunity at Uber for an experienced Security Analyst. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Database Administrator,Oracle is a leading technology company.,"We are looking for a talented Database Administrator to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Software Engineer,Google is a leading technology company.,"Exciting opportunity at Google for an experienced Software Engineer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Customer Support Lead,Twitter is a leading technology company.,"Twitter is hiring a Customer Support Lead to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
QA Engineer,Cisco is a leading technology company.,"Cisco is hiring a QA Engineer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Account Manager,,Congratulations! You've been selected for a high-paying data entry job. Work only 2 hours a day and earn $8000 monthly. Send upfront fee of $300 for training materials. No experience required. Apply with personal info now!,,,1
Security Analyst,LinkedIn is a leading technology company.,"We are looking for a talented Security Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
QA Engineer,Google is a leading technology company.,"Exciting opportunity at Google for an experienced QA Engineer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Mystery Shopper,,Congratulations! You've been selected for a high-paying data entry job. Work only 2 hours a day and earn $8000 monthly. Send upfront fee of $300 for training materials. No experience required. Apply with personal info now!,,,1
Graphic Designer,Google is a leading technology company.,"Google is hiring a Graphic Designer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Financial Analyst,Lyft is a leading technology company.,Join Lyft as a Financial Analyst. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Backend Developer,Google is a leading technology company.,"Exciting opportunity at Google for an experienced Backend Developer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
UX Researcher,Microsoft is a leading technology company.,"Microsoft is hiring a UX Researcher to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Administrative Assistant,,"Make money fast! Easy online job, earn $500/day doing simple tasks. No resume needed. Pay $100 registration fee to start. Provide your banking details for direct deposit setup. Don't miss out!!!",,,1
Supply Chain Analyst,Adobe is a leading technology company.,"Exciting opportunity at Adobe for an experienced Supply Chain Analyst. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Marketing Manager,LinkedIn is a leading technology company.,Join LinkedIn as a Marketing Manager. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Software Engineer,Airbnb is a leading technology company.,Join Airbnb as a Software Engineer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Security Analyst,Deloitte is a leading technology company.,"Exciting opportunity at Deloitte for an experienced Security Analyst. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Scrum Master,Adobe is a leading technology company.,"Exciting opportunity at Adobe for an experienced Scrum Master. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Technical Writer,Spotify is a leading technology company.,"We are looking for a talented Technical Writer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Analyst,Intel is a leading technology company.,"We are looking for a talented Data Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Analyst,Airbnb is a leading technology company.,"We are looking for a talented Data Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
HR Manager,Netflix is a leading technology company.,Join Netflix as a HR Manager. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Scrum Master,Uber is a leading technology company.,Join Uber as a Scrum Master. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Analyst,Intel is a leading technology company.,Join Intel as a Data Analyst. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Operations Manager,Meta is a leading technology company.,Join Meta as a Operations Manager. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
DevOps Engineer,McKinsey is a leading technology company.,"McKinsey is hiring a DevOps Engineer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
QA Engineer,Oracle is a leading technology company.,"Oracle is hiring a QA Engineer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Graphic Designer,Oracle is a leading technology company.,"Oracle is hiring a Graphic Designer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Mystery Shopper,,EARN $5000 WEEKLY from home!!! No experience needed. Just send us your personal details and bank account information to get started. This is a guaranteed income opportunity. Act now before positions fill up!!! Wire transfer fee of $200 required to secure your spot.,,,1
Graphic Designer,Cisco is a leading technology company.,"Exciting opportunity at Cisco for an experienced Graphic Designer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Software Engineer,Oracle is a leading technology company.,"Exciting opportunity at Oracle for an experienced Software Engineer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
UX Researcher,Goldman Sachs is a leading technology company.,"Exciting opportunity at Goldman Sachs for an experienced UX Researcher. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
HR Manager,Google is a leading technology company.,"Google is hiring a HR Manager to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Sales Representative,Adobe is a leading technology company.,"Exciting opportunity at Adobe for an experienced Sales Representative. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Full Stack Developer,LinkedIn is a leading technology company.,"LinkedIn is hiring a Full Stack Developer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Marketing Manager,VMware is a leading technology company.,"We are looking for a talented Marketing Manager to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Frontend Developer,Goldman Sachs is a leading technology company.,Join Goldman Sachs as a Frontend Developer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Software Engineer,Spotify is a leading technology company.,"Spotify is hiring a Software Engineer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
UX Researcher,Adobe is a leading technology company.,"We are looking for a talented UX Researcher to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Frontend Developer,McKinsey is a leading technology company.,"McKinsey is hiring a Frontend Developer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Account Manager,,URGENT HIRING - No qualifications needed. Salary $10000/month. Click the link below to submit your credit card details for background check. This is a confidential position and you must not share. Reply ASAP!!!,,,1
Data Analyst,Amazon is a leading technology company.,"Amazon is hiring a Data Analyst to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
QA Engineer,IBM is a leading technology company.,"We are looking for a talented QA Engineer to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
UX Researcher,Spotify is a leading technology company.,Join Spotify as a UX Researcher. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Administrative Assistant,,URGENT HIRING - No qualifications needed. Salary $10000/month. Click the link below to submit your credit card details for background check. This is a confidential position and you must not share. Reply ASAP!!!,,,1
Technical Writer,Microsoft is a leading technology company.,Join Microsoft as a Technical Writer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Analyst,Deloitte is a leading technology company.,"We are looking for a talented Data Analyst to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Graphic Designer,Spotify is a leading technology company.,"Exciting opportunity at Spotify for an experienced Graphic Designer. Responsibilities include designing systems, mentoring juniors, and driving technical excellence. We provide stock options, unlimited PTO, and professional development budget. Apply now with your resume.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Project Manager,Oracle is a leading technology company.,"Oracle is hiring a Project Manager to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Data Entry Clerk,,"Work from home and make thousands!!! Send your SSN and ID to apply. No interview needed, you're already hired! Just pay a small processing fee of $150 and start earning immediately. Limited spots available!!!",,,1
Database Administrator,Microsoft is a leading technology company.,"We are looking for a talented Database Administrator to join our engineering team. You will work on cutting-edge projects using modern technologies. Requirements include a BS in Computer Science and 3+ years experience. We offer competitive salary, health benefits, 401k, and remote work options.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Database Administrator,Stripe is a leading technology company.,Join Stripe as a Database Administrator. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Operations Manager,Spotify is a leading technology company.,"Spotify is hiring a Operations Manager to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Software Engineer,McKinsey is a leading technology company.,"McKinsey is hiring a Software Engineer to help scale our platform. This is a hybrid role based in our San Francisco office. We're looking for someone with 5+ years of experience and a passion for building reliable, scalable systems. Competitive compensation package.",Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Graphic Designer,Cisco is a leading technology company.,Join Cisco as a Graphic Designer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
Machine Learning Engineer,Twitter is a leading technology company.,Join Twitter as a Machine Learning Engineer. In this role you will collaborate with cross-functional teams to deliver high-quality solutions. We value innovation and continuous learning. Must have strong communication skills and relevant industry experience. Full-time position with benefits.,Bachelor's degree required. 2+ years experience preferred.,"Health insurance, 401k match, remote work flexibility.",0
